address,latitude,longitude,score
"9004 S Stony Island Ave, Chicago, Illinois, 60617",41.731190007054806,-87.58591100926786,98.84
"680 N Lake Shore Dr, Chicago, Illinois, 60611",41.89485098323544,-87.616763034657,100
"111 N Wabash Ave, Ste 712, Chicago, Illinois, 60602",41.8834989945793,-87.62573602964437,98.84
"3235 W 111th St, Chicago, Illinois, 60655",41.69131398279745,-87.70219097272594,100
"6798 N Lincoln Ave, Lincolnwood, Illinois, 60712",42.00440911356268,-87.73013518390546,96.39
"7410 N Clark St, Chicago, Illinois, 60626",42.01633300726132,-87.6758220082502,98.84
"77 W Monroe St, Chicago, Illinois, 60603",41.8803929965386,-87.6303190028436,98.84
"5711 W 63rd St, Chicago, Illinois, 60638",41.77775001236134,-87.76465400483676,98.84
"149 E Joe Orr Rd, Chicago Heights, Illinois, 60411",41.52069733156656,-87.63697641166041,99.55
